Damage over distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reload times (s),,,,,,
Distance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,∞,,Full,Tactical,,Rate of Fire,,ADS Time (s),With Shield
CSRX 300,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,95,94,92,90,88,87,85,83,81,80,78,78,78,78,78,78,78,78,,3.1,2.5,,50,,0.5,
BOSG 12.2,125,125,125,125,125,125,125,125,125,125,120,115,110,105,100,95,90,85,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,3,2.4,,450,,0.4,
TCSG12,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,42,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,3.2,2.5,,450,,0.4,
ACS12,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,55,52,48,45,41,40,39,38,36,35,34,33,32,31,29,28,27,26,26,26,26,26,26,26,26,,2.7,2,,300,,0.4,
OTs-03,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,70,70,69,68,67,67,66,65,64,64,63,62,61,61,60,59,59,59,,3.4,2.7,,380,,0.4,
SR-25,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,59,58,56,55,53,51,50,48,46,45,43,42,40,38,37,35,35,35,,3.5,2.9,,450,,0.4,0.55
CAMRS,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,67,65,63,61,59,57,55,54,52,50,48,46,44,42,40,38,38,38,,3.4,2.6,,450,,0.4,
417,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,66,65,63,62,60,59,57,56,54,53,51,50,48,47,45,45,45,,3.3,2.6,,450,,0.4,
AR-15.50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,61,60,59,58,58,57,56,55,55,54,53,52,52,51,50,50,50,,3.1,2.2,,450,,0.4,
MK 14 EBR,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,58,58,57,56,55,54,53,53,52,51,51,51,51,51,51,51,51,,3.4,3.1,,450,,0.4,
DP27,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,47,46,45,44,43,42,41,39,38,37,36,35,34,33,32,32,32,,4.6,4,,550,,0.45,
M249,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,32,32,,7.6,7.6,,650,,0.45,
M249 SAW,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,32,32,,4.5,3.3,,650,,0.45,
6P41,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,44,43,42,41,40,39,39,38,37,36,35,34,33,32,31,31,31,,8.5,8.5,,680,,0.45,
T-95 LSW,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,44,43,42,41,40,39,39,38,37,36,35,34,33,32,31,31,31,,3,2,,650,,0.45,
LMG-E,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,39,38,37,36,35,34,34,33,32,31,30,29,28,27,26,26,26,,6.5,7.1,,720,,0.45,
G8A1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,35,35,34,34,33,33,32,31,31,30,30,29,29,28,28,28,,3.9,3,,850,,0.45,
ALDA 5.56,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,33,32,32,31,30,30,29,28,27,27,26,25,25,24,24,24,,5.7,6.2,,900,,0.45,
PARA-308,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,46,45,43,41,39,38,36,34,32,31,29,29,29,29,29,29,29,29,,3.3,2.6,,650,,0.4,
552 Com,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,46,44,43,41,39,37,35,33,32,30,28,28,28,28,28,28,28,28,,3.1,2.4,,690,,0.4,
ARX200,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,45,44,42,40,38,37,35,33,31,30,28,28,28,28,28,28,28,28,,3.4,2.6,,700,,0.4,
556xi,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,45,43,41,39,37,35,33,31,29,27,25,25,25,25,25,25,25,25,,3.7,2.6,,690,,0.4,
L85A2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,45,44,42,40,39,37,36,34,32,31,29,29,29,29,29,29,29,29,,3.3,2.7,,670,,0.4,
C7E,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,44,42,40,38,36,33,31,29,27,25,23,23,23,23,23,23,23,23,,2.7,2,,800,,0.4,
M762,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,41,39,37,35,33,31,29,27,25,23,23,23,23,23,23,23,23,,3.3,2.6,,730,,0.4,
AK-12,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,41,39,37,35,33,31,29,27,25,23,23,23,23,23,23,23,23,,3.4,2.6,,850,,0.4,
SC3000K,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,42,41,39,38,36,35,33,32,30,29,29,29,29,29,29,29,29,,3.4,2.6,,800,,0.4,
M4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,42,41,39,38,36,35,33,32,30,29,27,27,27,27,27,27,27,27,,3.4,2.6,,750,,0.4,
V308,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,41,40,38,37,35,34,32,31,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,3.3,2.6,,700,,0.4,
AK-74M,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,42,41,39,37,36,34,33,31,29,28,26,26,26,26,26,26,26,26,,3.4,2.6,,650,,0.4,
416-C,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,36,34,33,31,29,27,25,23,22,20,18,18,18,18,18,18,18,18,,3.4,2.4,,740,,0.4,
MK17 CQB,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,46,45,43,42,40,39,37,36,34,33,33,33,33,33,33,33,33,,3.1,2.4,,585,,0.4,0.55
AUG A2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,38,36,35,33,32,30,29,27,26,26,26,26,26,26,26,26,,3.3,2.6,,720,,0.4,
AR33,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,39,38,36,35,33,32,30,29,27,26,24,24,24,24,24,24,24,24,,3.3,2.6,,749,,0.4,
Spear .308,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,38,36,35,33,32,30,29,27,26,26,26,26,26,26,26,26,,3.3,2.4,,700,,0.4,
TYPE-89,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,37,36,35,33,32,30,29,28,26,25,25,25,25,25,25,25,25,,3.3,2.6,,850,,0.4,
C8-SFW,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,37,36,34,33,31,30,28,27,25,24,24,24,24,24,24,24,24,,2.9,2.4,,837,,0.4,
F90,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,35,34,33,32,30,29,28,27,25,24,24,24,24,24,24,24,24,,3.1,2.2,,780,,0.4,
F2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,34,33,32,30,29,27,26,25,23,22,22,22,22,22,22,22,22,,3.1,2.4,,980,,0.4,
R4-C,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,36,35,34,33,31,30,29,28,26,25,25,25,25,25,25,25,25,,3.4,2.7,,860,,0.4,
G36C,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,35,34,33,31,30,28,27,26,24,23,23,23,23,23,23,23,23,,3.3,2.4,,780,,0.4,
C75 Auto,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,33,32,31,30,28,27,26,25,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,2.7,1.9,,1000,,0.275,
BEARING 9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,31,30,29,28,27,26,25,24,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,2.7,1.9,,1100,,0.275,
SMG-11,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,33,32,31,30,28,27,26,25,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,2.9,2,,1270,,0.275,
SPSMG9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,31,30,29,28,27,26,25,24,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,2.7,2.2,,980,,0.275,
SMG-12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,25,24,23,22,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,3,2,,1270,,0.275,
9mm C1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,42,40,39,37,36,34,33,31,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,2.6,1.9,,575,,0.3,
UMP45,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,35,34,33,31,30,28,27,26,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,2.9,2.4,,600,,0.3,
Commando 9,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,33,32,31,29,28,27,26,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,2.5,2,,780,,0.3,
M12,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,38,38,37,36,35,34,33,33,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,3,2.2,,550,,0.3,
K1A,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,33,32,31,29,28,27,26,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,3,2.7,,720,,0.3,
AUG A3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,33,32,31,31,30,29,28,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,3.3,2.6,,700,,0.3,
PDW9,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,32,31,30,30,29,28,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,3.4,2.6,,800,,0.3,
9x19 VSN,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,31,30,29,28,26,25,24,23,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,3.2,2.3,,750,,0.3,
MP7,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,30,29,28,27,25,24,23,22,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,2.8,2.2,,900,,0.3,
T-5 SMG,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,25,24,23,22,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,3,2.4,,900,,0.3,
MP5K,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,28,27,26,26,25,24,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,2.8,2,,800,,0.3,
MP5 SD,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,27,26,25,23,22,21,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,2.9,2.2,,800,,0.3,
MP5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,24,23,22,21,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,2.9,2.2,,800,,0.3,
FMG-9,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,31,30,29,28,26,25,24,23,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,3,2.2,,800,,0.3,
P10 RONI,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,23,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,2.7,1.7,,980,,0.3,
Mx4 Storm,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,23,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,3.1,2.8,,950,,0.3,
MPX,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,23,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,3.1,2.4,,830,,0.3,
Scorpion,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,21,20,19,19,18,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,3,2.1,,1080,,0.3,
